Variable:,tasmax
Country:,France
Subnational-unit:,Auvergne
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,6.48,5.55,6.58,12.44,15.29,21.08,23.10,24.81,20.43,15.48,6.75,2.81
1963,0.23,2.15,9.28,13.00,16.32,19.54,23.67,19.79,18.39,14.61,11.64,2.58
1964,2.08,7.41,7.93,13.07,18.88,21.74,26.04,23.22,21.10,12.26,8.17,4.34
1965,5.09,3.35,9.53,11.53,16.56,20.78,21.19,21.41,16.97,15.75,8.64,7.32
1966,4.29,10.10,9.19,13.88,17.17,21.40,20.89,21.48,21.62,15.44,6.51,6.29
1967,4.65,7.55,10.69,12.91,16.42,20.29,25.73,22.98,19.14,16.95,9.27,3.13
1968,4.66,6.73,9.92,13.87,15.40,20.15,22.75,20.68,18.54,16.88,8.56,4.58
1969,6.30,4.47,9.03,12.44,17.13,18.43,24.23,22.55,19.48,16.68,9.27,1.82
1970,5.78,6.32,6.50,10.58,16.99,21.90,23.05,22.86,21.59,14.20,11.28,3.38
1971,4.48,6.13,6.19,15.10,17.42,18.73,25.23,23.63,20.44,16.40,7.06,5.36
1972,4.88,8.00,11.47,11.47,15.49,18.57,23.16,21.38,17.45,14.76,9.71,5.63
1973,3.48,4.61,9.90,11.20,17.95,21.69,22.72,25.12,21.65,13.67,9.44,4.80
1974,7.93,7.07,10.03,12.95,16.45,20.55,23.31,24.04,17.97,9.72,9.42,8.06
1975,7.80,8.57,7.25,12.44,15.58,19.90,24.42,24.41,19.74,13.29,8.53,3.25
1976,5.21,6.98,9.85,12.76,18.92,25.00,25.29,24.13,18.28,14.10,7.84,4.72
1977,5.09,8.76,11.46,11.61,15.08,18.41,21.50,20.76,19.35,16.28,8.85,6.83
1978,4.36,6.13,9.95,10.45,15.19,18.97,21.89,22.06,20.71,15.16,8.60,7.23
1979,3.41,6.22,9.23,10.84,16.39,20.58,24.24,21.34,20.23,15.37,8.38,7.14
1980,3.67,8.57,8.45,11.40,15.34,18.43,20.87,23.57,21.41,13.92,7.56,3.80
1981,4.52,4.58,11.64,13.89,15.59,20.41,21.66,24.09,20.31,14.44,9.00,6.27
1982,7.22,7.57,9.22,13.74,18.02,21.93,25.83,22.23,22.22,13.95,10.38,6.05
1983,6.83,4.07,9.81,12.00,14.65,21.76,27.86,23.75,20.87,15.45,9.82,6.19
1984,5.60,5.19,8.38,14.12,13.15,20.39,24.91,22.87,18.13,14.61,11.52,5.79
1985,0.05,7.09,7.62,13.68,15.40,19.48,24.80,22.85,23.72,16.94,5.96,6.62
1986,5.25,1.56,9.03,9.06,17.95,21.48,24.56,23.02,20.36,16.64,10.01,6.35
1987,-0.13,5.11,7.24,14.38,15.02,18.57,22.89,23.53,22.43,15.31,8.49,6.23
1988,7.88,6.89,8.41,13.53,16.82,20.13,22.74,23.78,19.83,16.25,8.72,6.54
1989,5.84,7.99,13.04,10.87,21.05,22.22,25.62,24.97,20.92,16.93,9.46,7.88
1990,5.97,11.63,12.64,11.86,20.35,20.22,25.52,26.10,21.08,16.85,8.51,3.65
1991,4.99,4.96,11.88,12.48,15.62,19.31,25.29,26.90,22.50,13.46,8.69,4.96
1992,3.78,7.41,10.48,13.37,19.91,19.20,23.84,25.07,19.72,11.69,10.90,6.52
1993,7.44,5.41,10.60,13.45,17.87,21.55,22.42,24.31,18.06,12.43,6.63,7.56
1994,6.20,7.43,13.18,11.11,17.86,21.84,26.84,25.12,18.13,15.27,11.89,7.59
1995,6.04,9.52,9.61,13.09,17.87,20.78,26.42,24.76,17.77,18.31,9.78,5.66
1996,7.38,4.57,9.67,14.25,16.37,22.73,23.82,22.72,18.57,15.05,8.63,5.18
1997,4.04,9.92,13.71,15.10,18.58,20.00,23.14,26.12,22.74,16.30,10.50,6.88
1998,6.62,9.03,11.54,11.58,19.40,21.98,24.20,25.70,19.62,14.34,7.03,5.83
1999,6.95,5.66,11.42,13.26,19.33,21.10,25.31,24.38,22.28,15.55,7.57,6.61
2000,4.98,9.19,11.26,13.29,19.30,22.68,22.12,25.12,21.57,14.87,10.02,9.11
2001,6.93,7.65,11.82,11.58,18.98,22.05,23.97,24.90,18.36,18.31,7.58,3.77
