Variable:,tasmin
Country:,France
Subnational-unit:,Auvergne
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1958,-1.56,0.24,-1.14,1.49,7.27,8.96,11.45,12.24,11.00,5.37,1.65,0.16
1959,-2.21,-2.42,2.36,3.36,6.89,9.80,12.69,11.58,9.99,5.36,1.11,0.75
1960,-2.58,-0.94,2.32,2.63,7.48,10.66,10.40,10.77,7.96,5.63,2.99,-1.83
1961,-1.85,1.23,0.04,5.09,5.75,9.99,10.83,10.29,11.57,6.59,1.31,-0.51
1962,0.01,-2.52,-1.92,2.62,5.47,8.37,10.59,11.36,8.42,5.58,-0.32,-4.85
1963,-6.53,-6.40,0.16,3.38,5.62,9.44,11.83,10.35,9.21,4.91,3.73,-4.33
1964,-4.40,-0.32,0.13,3.17,7.69,10.03,12.08,10.98,9.99,3.88,1.87,-2.60
1965,-1.65,-4.56,0.32,2.60,6.29,9.55,10.24,10.38,7.51,6.32,1.60,0.43
1966,-2.71,2.36,-0.94,4.14,6.57,10.15,10.25,10.34,9.22,7.87,-0.39,0.15
1967,-2.24,-0.63,1.52,1.81,5.69,8.21,12.55,11.23,8.84,7.60,2.11,-3.21
1968,-2.84,-0.71,0.12,2.86,5.36,8.73,10.80,10.58,8.43,7.15,1.34,-1.46
1969,-1.01,-3.78,0.89,3.02,6.44,7.88,11.72,11.13,9.21,5.59,1.18,-4.43
1970,-1.04,-0.52,-1.62,1.31,5.82,10.97,10.90,11.61,9.15,4.40,2.31,-3.07
1971,-3.30,-2.20,-3.18,3.75,7.29,8.68,12.10,12.11,8.28,4.87,-0.54,-1.01
1972,-1.54,0.34,1.01,2.70,5.53,7.52,10.88,10.20,6.08,4.02,2.03,-1.58
1973,-2.47,-2.59,-1.92,0.53,7.17,9.98,11.65,13.05,9.43,3.84,0.38,-2.01
1974,0.74,-0.09,1.71,2.24,5.62,8.63,10.48,11.21,8.30,2.27,2.12,1.15
1975,0.65,-1.25,-0.49,2.29,5.75,8.75,11.45,12.48,9.65,4.01,1.44,-2.48
1976,-1.78,-0.89,-1.03,1.86,6.59,12.25,12.69,11.00,8.01,6.10,0.92,-1.40
1977,-0.85,1.61,1.86,2.02,5.98,8.69,11.09,10.10,7.20,7.10,1.21,-0.45
1978,-2.05,-1.09,1.11,1.58,6.00,8.57,10.58,9.97,8.10,4.26,-0.41,0.35
1979,-3.42,-0.49,1.52,2.02,5.91,10.25,11.50,10.43,8.61,7.04,0.70,-0.37
1980,-2.54,0.86,0.34,1.71,5.21,8.45,9.52,12.00,9.43,4.57,-0.16,-3.57
1981,-2.67,-3.62,3.18,3.70,6.25,9.26,10.70,11.48,9.73,5.99,0.56,-0.61
1982,0.66,-0.48,-0.23,1.96,6.18,10.87,13.23,11.19,10.51,5.84,3.15,0.12
1983,-0.91,-2.99,0.62,2.65,5.35,10.31,14.64,12.57,9.58,5.34,2.03,-1.64
1984,-1.13,-2.22,-1.42,1.74,4.32,8.76,11.12,11.12,8.11,6.04,3.94,-1.18
1985,-7.07,-1.69,-1.20,3.09,5.99,8.62,12.43,10.26,9.31,5.51,-1.51,-0.40
1986,-1.35,-5.38,-0.34,1.05,7.49,9.99,11.74,10.78,8.77,7.38,1.83,-0.98
1987,-6.26,-1.28,-1.21,3.47,4.37,8.52,12.17,11.58,10.97,7.50,1.90,-0.25
1988,1.52,-1.28,0.62,3.67,7.76,9.48,10.80,11.44,8.90,7.08,0.15,0.16
1989,-2.03,-1.22,2.15,2.28,8.24,9.48,13.07,12.17,9.04,6.02,1.07,0.20
1990,-1.82,2.62,0.94,2.22,8.35,9.50,12.13,12.89,8.55,7.58,2.43,-2.90
1991,-1.30,-4.02,3.35,1.53,4.96,8.88,12.68,13.52,11.42,5.02,1.51,-2.05
1992,-3.13,-1.94,1.37,2.84,7.98,9.31,12.41,13.52,8.85,4.87,3.50,0.48
1993,-0.38,-2.60,-0.25,3.69,7.59,10.71,10.97,11.83,8.64,5.81,-0.43,1.08
1994,-0.18,-0.15,3.24,2.35,7.47,10.32,14.41,13.62,9.25,6.58,5.16,1.27
1995,-1.36,1.74,-0.27,3.44,6.59,9.17,14.16,12.89,7.91,8.80,1.57,-0.45
1996,0.98,-2.11,-0.23,3.09,6.42,10.71,11.67,11.37,6.90,5.75,1.59,-0.68
1997,-2.20,0.57,2.12,2.58,7.84,10.07,11.85,14.54,9.83,6.66,3.08,0.29
1998,-0.21,-0.76,1.43,3.08,8.05,10.39,12.40,12.28,9.86,6.41,-1.00,-1.33
1999,-0.36,-1.41,1.93,3.78,9.45,9.76,13.20,13.11,11.64,6.97,0.42,-0.88
2000,-1.82,0.57,1.01,3.84,8.90,11.32,11.09,12.93,10.17,7.08,3.20,2.07
2001,0.84,-0.33,3.66,2.70,8.35,9.72,12.50,13.19,7.41,8.96,0.27,-3.34
2002,-1.60,1.66,2.29,3.60,6.51,11.52,11.64,11.96,8.73,6.58,3.80,2.10
2003,-2.52,-2.85,1.70,4.04,7.96,12.30,14.05,13.09,9.46,5.02,2.87,-0.29
2004,-0.61,-1.69,-0.06,3.46,6.33,10.86,11.91,13.10,10.46,8.25,1.58,-0.87
2005,-1.77,-3.35,0.15,3.69,7.58,12.06,13.05,11.40,9.99,8.55,0.71,-3.28
2006,-2.31,-2.58,0.75,3.62,7.60,11.34,15.47,10.92,11.73,9.44,3.71,-0.84
2007,1.11,1.31,1.04,4.80,8.36,11.04,11.71,11.62,8.00,5.62,0.32,-1.58
2008,0.42,0.10,0.83,3.05,8.01,10.65,11.75,12.14,8.09,5.46,2.25,-1.53
2009,-3.72,-1.98,0.43,4.32,8.75,10.64,12.57,13.17,10.01,6.07,4.41,-0.77
2010,-3.75,-2.03,-0.07,3.76,6.11,10.47,13.62,11.89,8.22,5.35,2.34,-2.99
2011,-1.43,-0.64,1.42,5.26,8.39,10.11,10.77,12.73,10.89,6.57,4.17,1.29
2012,0.11,-5.96,2.15,3.15,8.00,11.34,11.63,13.30,9.21,7.55,3.05,0.11
2013,-1.54,-3.15,0.17,3.26,5.18,9.57,14.14,12.35,10.05,8.82,1.70,-1.13
2014,1.60,0.84,1.24,4.84,6.51,11.48,12.17,11.29,10.44,8.57,5.07,0.26
2015,-1.08,-2.36,1.60,4.18,7.85,11.98,14.36,12.93,8.50,5.42,3.76,1.96
2016,0.72,0.37,0.45,3.08,6.74,10.74,12.65,12.68,11.29,5.42,2.63,-1.33
2017,-3.69,1.13,3.04,3.08,8.03,12.53,13.08,13.06,8.02,6.97,1.12,-1.23
2018,2.46,-3.26,0.66,5.40,8.01,12.12,14.38,14.05,10.59,7.02,3.45,1.40
2019,-1.87,0.52,1.86,3.30,5.86,11.73,14.29,13.26,10.35,8.59,2.42,1.70
2020,0.43,1.99,1.52,5.23,8.57,10.29,13.28,13.74,10.54,5.86,3.11,0.57
